Location ID,Observed Property ID,Observed DateTime,Result Value,Result Unit,Lab: MDL,,,,,,,,
RLE,Ammonia as N,2026-04-13 12:00:00.000+10:00,0.11,mg/L,0.01,,,RLW,Total Nitrogen as N,2026-04-13 12:00:00.000+10:00,0.6,mg/L,0.1
RLE,Dissolved Reactive Phosphorus as P,2026-04-13 12:00:00.000+10:00,,mg/L,0.01,,,RLW,Total Nitrogen as N,2026-03-30 12:00:00.000+10:00,0.5,mg/L,0.1
RLW,Dissolved Reactive Phosphorus as P,2026-04-13 12:00:00.000+10:00,,mg/L,0.01,,,RLE,Total Nitrogen as N,2026-03-30 12:00:00.000+10:00,0.6,mg/L,0.1
RLM,Dissolved Reactive Phosphorus as P,2026-04-13 12:00:00.000+10:00,,mg/L,0.01,,,RLM,Total Nitrogen as N,2026-03-30 12:00:00.000+10:00,0.5,mg/L,0.1
RLW,Nitrate as N,2026-04-13 12:00:00.000+10:00,,mg/L,0.01,,,RLE,Total Nitrogen as N,2026-03-16 12:00:00.000+10:00,0.6,mg/L,0.1
RLE,Nitrate as N,2026-04-13 12:00:00.000+10:00,,mg/L,0.01,,,RLM,Total Nitrogen as N,2026-03-16 12:00:00.000+10:00,0.6,mg/L,0.1
RLM,Nitrate as N,2026-04-13 12:00:00.000+10:00,,mg/L,0.01,,,RLW,Total Nitrogen as N,2026-03-16 12:00:00.000+10:00,0.6,mg/L,0.1
RLE,Nitrite + Nitrate as N,2026-04-13 12:00:00.000+10:00,,mg/L,0.01,,,RLW,Total Nitrogen as N,2026-02-16 12:00:00.000+10:00,0.4,mg/L,0.1
RLW,Nitrite + Nitrate as N,2026-04-13 12:00:00.000+10:00,,mg/L,0.01,,,RLM,Total Nitrogen as N,2026-02-16 12:00:00.000+10:00,0.5,mg/L,0.1
RLM,Nitrite + Nitrate as N,2026-04-13 12:00:00.000+10:00,,mg/L,0.01,,,RLE,Total Nitrogen as N,2026-02-16 12:00:00.000+10:00,0.6,mg/L,0.1
RLE,Nitrite as N,2026-04-13 12:00:00.000+10:00,,mg/L,0.01,,,RLW,Total Nitrogen as N,2026-01-19 12:00:00.000+10:00,0.5,mg/L,0.1
RLW,Nitrite as N,2026-04-13 12:00:00.000+10:00,,mg/L,0.01,,,RLM,Total Nitrogen as N,2026-01-19 12:00:00.000+10:00,0.6,mg/L,0.1
RLM,Nitrite as N,2026-04-13 12:00:00.000+10:00,,mg/L,0.01,,,RLE,Total Nitrogen as N,2026-01-19 12:00:00.000+10:00,0.6,mg/L,0.1
RLM,Total Kjeldahl Nitrogen as N,2026-04-13 12:00:00.000+10:00,0.7,mg/L,0.1,,,RLM,Total Nitrogen as N,2025-11-24 12:00:00.000+10:00,0.4,mg/L,0.1
RLW,Total Kjeldahl Nitrogen as N,2026-04-13 12:00:00.000+10:00,0.6,mg/L,0.1,,,RLW,Total Nitrogen as N,2025-11-24 12:00:00.000+10:00,0.4,mg/L,0.1
RLE,Total Kjeldahl Nitrogen as N,2026-04-13 12:00:00.000+10:00,0.5,mg/L,0.1,,,RLE,Total Nitrogen as N,2025-11-24 12:00:00.000+10:00,0.4,mg/L,0.1
RLE,Total Nitrogen as N,2026-04-13 12:00:00.000+10:00,0.5,mg/L,0.1,,,,,,,,
RLM,Total Nitrogen as N,2026-04-13 12:00:00.000+10:00,0.7,mg/L,0.1,,,,,,,,
RLW,Total Nitrogen as N,2026-04-13 12:00:00.000+10:00,0.6,mg/L,0.1,,,,,,,,
RLE,Total Phosphorus as P,2026-04-13 12:00:00.000+10:00,0.02,mg/L,0.01,,,,,,,,
RLW,Total Phosphorus as P,2026-04-13 12:00:00.000+10:00,0.04,mg/L,0.01,,,,,,,,
RLM,Total Phosphorus as P,2026-04-13 12:00:00.000+10:00,0.03,mg/L,0.01,,,,,,,,
RLE,Total suspended solids,2026-04-13 12:00:00.000+10:00,,mg/L,5,,,,,,,,
RLM,Total suspended solids,2026-04-13 12:00:00.000+10:00,,mg/L,5,,,,,,,,
RLW,Total suspended solids,2026-04-13 12:00:00.000+10:00,5,mg/L,5,,,,,,,,
RLM,Ammonia as N,2026-03-30 12:00:00.000+10:00,0.11,mg/L,0.01,,,RLW,Total Nitrogen as N,2025-09-29 12:00:00.000+10:00,0.4,mg/L,0.1
RLE,Ammonia as N,2026-03-30 12:00:00.000+10:00,0.13,mg/L,0.01,,,RLE,Total Nitrogen as N,2025-09-29 12:00:00.000+10:00,0.4,mg/L,0.1
RLW,Ammonia as N,2026-03-30 12:00:00.000+10:00,0.11,mg/L,0.01,,,RLM,Total Nitrogen as N,2025-09-29 12:00:00.000+10:00,0.5,mg/L,0.1
RLE,Dissolved Reactive Phosphorus as P,2026-03-30 12:00:00.000+10:00,,mg/L,0.01,,,RLE,Total Nitrogen as N,2025-09-15 12:00:00.000+10:00,0.5,mg/L,0.1
RLM,Dissolved Reactive Phosphorus as P,2026-03-30 12:00:00.000+10:00,,mg/L,0.01,,,RLW,Total Nitrogen as N,2025-09-15 12:00:00.000+10:00,0.4,mg/L,0.1
RLW,Dissolved Reactive Phosphorus as P,2026-03-30 12:00:00.000+10:00,,mg/L,0.01,,,RLM,Total Nitrogen as N,2025-09-15 12:00:00.000+10:00,0.5,mg/L,0.1
RLE,Nitrate as N,2026-03-30 12:00:00.000+10:00,,mg/L,0.01,,,RLW,Total Nitrogen as N,2025-09-01 12:00:00.000+10:00,0.6,mg/L,0.1
RLM,Nitrate as N,2026-03-30 12:00:00.000+10:00,0.03,mg/L,0.01,,,RLM,Total Nitrogen as N,2025-09-01 12:00:00.000+10:00,0.6,mg/L,0.1
RLW,Nitrate as N,2026-03-30 12:00:00.000+10:00,0.02,mg/L,0.01,,,RLE,Total Nitrogen as N,2025-09-01 12:00:00.000+10:00,0.6,mg/L,0.1
RLE,Nitrite + Nitrate as N,2026-03-30 12:00:00.000+10:00,,mg/L,0.01,,,RLM,Total Nitrogen as N,2025-08-04 12:00:00.000+10:00,0.5,mg/L,0.1
RLM,Nitrite + Nitrate as N,2026-03-30 12:00:00.000+10:00,0.03,mg/L,0.01,,,RLW,Total Nitrogen as N,2025-08-04 12:00:00.000+10:00,0.5,mg/L,0.1
RLW,Nitrite + Nitrate as N,2026-03-30 12:00:00.000+10:00,0.02,mg/L,0.01,,,RLE,Total Nitrogen as N,2025-08-04 12:00:00.000+10:00,0.7,mg/L,0.1
RLW,Nitrite as N,2026-03-30 12:00:00.000+10:00,,mg/L,0.01,,,RLE,Total Nitrogen as N,2025-07-07 12:00:00.000+10:00,0.6,mg/L,0.1
RLM,Nitrite as N,2026-03-30 12:00:00.000+10:00,,mg/L,0.01,,,RLM,Total Nitrogen as N,2025-07-07 12:00:00.000+10:00,0.6,mg/L,0.1
RLE,Nitrite as N,2026-03-30 12:00:00.000+10:00,,mg/L,0.01,,,RLW,Total Nitrogen as N,2025-07-07 12:00:00.000+10:00,0.7,mg/L,0.1
RLW,Total Kjeldahl Nitrogen as N,2026-03-30 12:00:00.000+10:00,0.5,mg/L,0.1,,,RLW,Total Nitrogen as N,2025-06-02 12:00:00.000+10:00,0.5,mg/L,0.1
RLM,Total Kjeldahl Nitrogen as N,2026-03-30 12:00:00.000+10:00,0.5,mg/L,0.1,,,RLE,Total Nitrogen as N,2025-06-02 12:00:00.000+10:00,0.5,mg/L,0.1
RLE,Total Kjeldahl Nitrogen as N,2026-03-30 12:00:00.000+10:00,0.6,mg/L,0.1,,,RLM,Total Nitrogen as N,2025-06-02 12:00:00.000+10:00,0.6,mg/L,0.1
RLW,Total Nitrogen as N,2026-03-30 12:00:00.000+10:00,0.5,mg/L,0.1,,,,,,,,
RLE,Total Nitrogen as N,2026-03-30 12:00:00.000+10:00,0.6,mg/L,0.1,,,,,,,,
RLM,Total Nitrogen as N,2026-03-30 12:00:00.000+10:00,0.5,mg/L,0.1,,,,,,,,
RLM,Total Phosphorus as P,2026-03-30 12:00:00.000+10:00,0.02,mg/L,0.01,,,,,,,,
RLE,Total Phosphorus as P,2026-03-30 12:00:00.000+10:00,0.02,mg/L,0.01,,,,,,,,
RLW,Total Phosphorus as P,2026-03-30 12:00:00.000+10:00,,mg/L,0.01,,,,,,,,
