Location ID,Observed Property ID,Observed DateTime,Result Value,Result Unit,Lab: MDL,,,,,,,,,
WULE,Dissolved Reactive Phosphorus as P,2026-03-30 12:00:00.000+10:00,,mg/L,0.01,,,,WULM,Total Nitrogen as N,2025-09-01 12:00:00.000+10:00,0.6,mg/L,0.1
WULM,Dissolved Reactive Phosphorus as P,2026-03-30 12:00:00.000+10:00,,mg/L,0.01,,,,WULW,Total Nitrogen as N,2025-09-01 12:00:00.000+10:00,0.6,mg/L,0.1
WULW,Dissolved Reactive Phosphorus as P,2026-03-30 12:00:00.000+10:00,,mg/L,0.01,,,,WULE,Total Nitrogen as N,2025-09-01 12:00:00.000+10:00,0.6,mg/L,0.1
WULM,Nitrate as N,2026-03-30 12:00:00.000+10:00,,mg/L,0.01,,,,WULE,Total Nitrogen as N,2025-08-04 12:00:00.000+10:00,0.5,mg/L,0.1
WULE,Nitrate as N,2026-03-30 12:00:00.000+10:00,,mg/L,0.01,,,,WULM,Total Nitrogen as N,2025-08-04 12:00:00.000+10:00,0.5,mg/L,0.1
WULW,Nitrate as N,2026-03-30 12:00:00.000+10:00,0.02,mg/L,0.01,,,,WULW,Total Nitrogen as N,2025-08-04 12:00:00.000+10:00,0.6,mg/L,0.1
WULM,Nitrite + Nitrate as N,2026-03-30 12:00:00.000+10:00,,mg/L,0.01,,,,WULE,Total Nitrogen as N,2025-07-07 12:00:00.000+10:00,0.9,mg/L,0.1
WULW,Nitrite + Nitrate as N,2026-03-30 12:00:00.000+10:00,0.02,mg/L,0.01,,,,WULW,Total Nitrogen as N,2025-07-07 12:00:00.000+10:00,0.6,mg/L,0.1
WULE,Nitrite + Nitrate as N,2026-03-30 12:00:00.000+10:00,,mg/L,0.01,,,,WULM,Total Nitrogen as N,2025-07-07 12:00:00.000+10:00,1.1,mg/L,0.1
WULM,Nitrite as N,2026-03-30 12:00:00.000+10:00,,mg/L,0.01,,,,WULM,Total Nitrogen as N,2025-06-02 12:00:00.000+10:00,0.6,mg/L,0.1
WULE,Nitrite as N,2026-03-30 12:00:00.000+10:00,,mg/L,0.01,,,,WULW,Total Nitrogen as N,2025-06-02 12:00:00.000+10:00,0.5,mg/L,0.1
WULW,Nitrite as N,2026-03-30 12:00:00.000+10:00,,mg/L,0.01,,,,WULE,Total Nitrogen as N,2025-06-02 12:00:00.000+10:00,0.6,mg/L,0.1
WULM,Total Kjeldahl Nitrogen as N,2026-03-30 12:00:00.000+10:00,0.8,mg/L,0.1,,,,WULE,Total Nitrogen as N,2025-06-01 12:00:00.000+11:00,0.6,mg/L,0.1
WULE,Total Kjeldahl Nitrogen as N,2026-03-30 12:00:00.000+10:00,0.4,mg/L,0.1,,,,WULW,Total Nitrogen as N,2025-06-01 12:00:00.000+11:00,0.6,mg/L,0.1
WULW,Total Kjeldahl Nitrogen as N,2026-03-30 12:00:00.000+10:00,0.5,mg/L,0.1,,,,WULM,Total Nitrogen as N,2025-06-01 12:00:00.000+11:00,0.6,mg/L,0.1
WULM,Total Nitrogen as N,2026-03-30 12:00:00.000+10:00,0.8,mg/L,0.1,,,,,,,,,
WULE,Total Nitrogen as N,2026-03-30 12:00:00.000+10:00,0.4,mg/L,0.1,,,,,,,,,
WULW,Total Nitrogen as N,2026-03-30 12:00:00.000+10:00,0.5,mg/L,0.1,,,,,,,,,
WULE,Total Phosphorus as P,2026-03-30 12:00:00.000+10:00,0.03,mg/L,0.01,,,,,,,,,
WULW,Total Phosphorus as P,2026-03-30 12:00:00.000+10:00,0.04,mg/L,0.01,,,,,,,,,
WULM,Total Phosphorus as P,2026-03-30 12:00:00.000+10:00,0.05,mg/L,0.01,,,,,,,,,
WULM,Total suspended solids,2026-03-30 12:00:00.000+10:00,,mg/L,5,,,,,,,,,
WULW,Total suspended solids,2026-03-30 12:00:00.000+10:00,,mg/L,5,,,,,,,,,
WULE,Total suspended solids,2026-03-30 12:00:00.000+10:00,,mg/L,5,,,,,,,,,
WULE,Ammonia as N,2026-03-16 12:00:00.000+10:00,,mg/L,0.01,,,,WULE,Total Nitrogen as N,2025-03-31 12:00:00.000+10:00,0.5,mg/L,0.1
WULM,Ammonia as N,2026-03-16 12:00:00.000+10:00,0.03,mg/L,0.01,,,,WULW,Total Nitrogen as N,2025-03-31 12:00:00.000+10:00,0.4,mg/L,0.1
WULW,Ammonia as N,2026-03-16 12:00:00.000+10:00,0.01,mg/L,0.01,,,,WULM,Total Nitrogen as N,2025-03-31 12:00:00.000+10:00,0.4,mg/L,0.1
WULW,Dissolved Reactive Phosphorus as P,2026-03-16 12:00:00.000+10:00,,mg/L,0.01,,,,WULE,Total Nitrogen as N,2025-03-17 12:00:00.000+10:00,0.5,mg/L,0.1
WULM,Dissolved Reactive Phosphorus as P,2026-03-16 12:00:00.000+10:00,,mg/L,0.01,,,,WULW,Total Nitrogen as N,2025-03-17 12:00:00.000+10:00,0.6,mg/L,0.1
WULE,Dissolved Reactive Phosphorus as P,2026-03-16 12:00:00.000+10:00,,mg/L,0.01,,,,WULM,Total Nitrogen as N,2025-03-17 12:00:00.000+10:00,0.6,mg/L,0.1
WULW,Nitrate as N,2026-03-16 12:00:00.000+10:00,,mg/L,0.01,,,,WULW,Total Nitrogen as N,2025-03-03 12:00:00.000+10:00,0.5,mg/L,0.1
WULM,Nitrate as N,2026-03-16 12:00:00.000+10:00,,mg/L,0.01,,,,WULE,Total Nitrogen as N,2025-03-03 12:00:00.000+10:00,0.4,mg/L,0.1
WULE,Nitrate as N,2026-03-16 12:00:00.000+10:00,,mg/L,0.01,,,,WULM,Total Nitrogen as N,2025-03-03 12:00:00.000+10:00,0.4,mg/L,0.1
WULM,Nitrite + Nitrate as N,2026-03-16 12:00:00.000+10:00,,mg/L,0.01,,,,WULW,Total Nitrogen as N,2025-03-02 12:00:00.000+11:00,0.5,mg/L,0.1
WULW,Nitrite + Nitrate as N,2026-03-16 12:00:00.000+10:00,,mg/L,0.01,,,,WULM,Total Nitrogen as N,2025-03-02 12:00:00.000+11:00,0.5,mg/L,0.1
WULE,Nitrite + Nitrate as N,2026-03-16 12:00:00.000+10:00,,mg/L,0.01,,,,WULE,Total Nitrogen as N,2025-03-02 12:00:00.000+11:00,0.5,mg/L,0.1
WULW,Nitrite as N,2026-03-16 12:00:00.000+10:00,,mg/L,0.01,,,,WULW,Total Nitrogen as N,2025-02-17 12:00:00.000+10:00,0.5,mg/L,0.1
WULM,Nitrite as N,2026-03-16 12:00:00.000+10:00,,mg/L,0.01,,,,WULE,Total Nitrogen as N,2025-02-17 12:00:00.000+10:00,0.5,mg/L,0.1
WULE,Nitrite as N,2026-03-16 12:00:00.000+10:00,,mg/L,0.01,,,,WULM,Total Nitrogen as N,2025-02-17 12:00:00.000+10:00,0.5,mg/L,0.1
WULW,Total Kjeldahl Nitrogen as N,2026-03-16 12:00:00.000+10:00,0.5,mg/L,0.1,,,,WULM,Total Nitrogen as N,2025-02-03 12:00:00.000+10:00,0.5,mg/L,0.1
WULE,Total Kjeldahl Nitrogen as N,2026-03-16 12:00:00.000+10:00,0.5,mg/L,0.1,,,,WULE,Total Nitrogen as N,2025-02-03 12:00:00.000+10:00,0.5,mg/L,0.1
WULM,Total Kjeldahl Nitrogen as N,2026-03-16 12:00:00.000+10:00,0.6,mg/L,0.1,,,,WULW,Total Nitrogen as N,2025-02-03 12:00:00.000+10:00,0.5,mg/L,0.1
WULW,Total Nitrogen as N,2026-03-16 12:00:00.000+10:00,0.5,mg/L,0.1,,,,,,,,,
WULM,Total Nitrogen as N,2026-03-16 12:00:00.000+10:00,0.6,mg/L,0.1,,,,,,,,,
WULE,Total Nitrogen as N,2026-03-16 12:00:00.000+10:00,0.5,mg/L,0.1,,,,,,,,,
WULE,Total Phosphorus as P,2026-03-16 12:00:00.000+10:00,0.01,mg/L,0.01,,,,,,,,,
WULW,Total Phosphorus as P,2026-03-16 12:00:00.000+10:00,0.02,mg/L,0.01,,,,,,,,,
WULM,Total Phosphorus as P,2026-03-16 12:00:00.000+10:00,0.02,mg/L,0.01,,,,,,,,,
WULW,Total suspended solids,2026-03-16 12:00:00.000+10:00,,mg/L,5,,,,,,,,,
WULE,Total suspended solids,2026-03-16 12:00:00.000+10:00,,mg/L,5,,,,,,,,,
WULM,Total suspended solids,2026-03-16 12:00:00.000+10:00,,mg/L,5,,,,,,,,,
WULW,Ammonia as N,2026-02-16 12:00:00.000+10:00,0.11,mg/L,0.01,,,,WULW,Total Nitrogen as N,2024-12-09 12:00:00.000+10:00,0.4,mg/L,0.1
WULE,Ammonia as N,2026-02-16 12:00:00.000+10:00,0.08,mg/L,0.01,,,,WULM,Total Nitrogen as N,2024-12-09 12:00:00.000+10:00,0.4,mg/L,0.1
WULM,Ammonia as N,2026-02-16 12:00:00.000+10:00,0.05,mg/L,0.01,,,,WULE,Total Nitrogen as N,2024-12-09 12:00:00.000+10:00,0.5,mg/L,0.1
