Location ID,Observed Property ID,Analyzed DateTime,Depth,Depth Unit,Data Classification,Result Value,Result Unit,Lab: MDL,Latitude,Longitude
FB,Total Phosphorus as P,2022-12-12 12:00:00.000+10:00,,,LAB,0.03,mg/L,0.01,-33.7272,150.692296
FB,Dissolved Reactive Phosphorus as P,2022-12-12 12:00:00.000+10:00,,,LAB,,mg/L,0.01,-33.7272,150.692296
FB,Total suspended solids,2022-12-12 12:00:00.000+10:00,,,LAB,,mg/L,5,-33.7272,150.692296
FB,Total Nitrogen as N,2022-12-12 12:00:00.000+10:00,,,LAB,0.6,mg/L,0.1,-33.7272,150.692296
FB,Nitrite + Nitrate as N,2022-12-12 12:00:00.000+10:00,,,LAB,,mg/L,0.01,-33.7272,150.692296
FB,Ammonia as N,2022-12-12 12:00:00.000+10:00,,,LAB,,mg/L,0.01,-33.7272,150.692296
FB,Nitrate as N,2022-12-12 12:00:00.000+10:00,,,LAB,,mg/L,0.01,-33.7272,150.692296
FB,Total Kjeldahl Nitrogen as N,2022-12-12 12:00:00.000+10:00,,,LAB,0.6,mg/L,0.1,-33.7272,150.692296
FB,Merismopedia_Biovolume,2022-12-12 16:55:00.000+10:00,,,LAB,0.006,mm3/l,,-33.7272,150.692296
FB,Merismopedia_Cell count,2022-12-12 16:55:00.000+10:00,,,LAB,830,cells/ml,,-33.7272,150.692296
FB,Enterococci,2022-12-12 16:55:00.000+10:00,,,LAB,5,cfu/100ml,,-33.7272,150.692296
FB,Synechococcus cf_Cell count,2022-12-12 16:55:00.000+10:00,,,LAB,277,cells/ml,,-33.7272,150.692296
FB,Cyanobacteria Biovolume,2022-12-12 16:55:00.000+10:00,,,LAB,0.707,mm3/l,,-33.7272,150.692296
FB,Dolichospermum circinale_Cell count,2022-12-12 16:55:00.000+10:00,,,LAB,3538,cells/ml,,-33.7272,150.692296
FB,Chlorophyll - a,2022-12-12 16:55:00.000+10:00,,,LAB,7.1,mg/m^3,,-33.7272,150.692296
FB,Dolichospermum_Biovolume,2022-12-12 16:55:00.000+10:00,,,LAB,0.05,mm3/l,,-33.7272,150.692296
FB,Total Cyanobacteria,2022-12-12 16:55:00.000+10:00,,,LAB,86740,cells/ml,,-33.7272,150.692296
FB,Dolichospermum_Cell count,2022-12-12 16:55:00.000+10:00,,,LAB,312,cells/ml,,-33.7272,150.692296
FB,Potentially Toxic Cyanobacteria,2022-12-12 16:55:00.000+10:00,,,LAB,3850,cells/ml,,-33.7272,150.692296
FB,Coccoid Blue Green Picoplankton_Cell count,2022-12-12 16:55:00.000+10:00,,,LAB,81785,cells/ml,,-33.7272,150.692296
FB,Synechococcus cf_Biovolume,2022-12-12 16:55:00.000+10:00,,,LAB,0.001,mm3/l,,-33.7272,150.692296
FB,Potentially Toxic Cyanobacteria Biovolume,2022-12-12 16:55:00.000+10:00,,,LAB,0.664,mm3/l,,-33.7272,150.692296
FB,Dolichospermum circinale_Biovolume,2022-12-12 16:55:00.000+10:00,,,LAB,0.614,mm3/l,,-33.7272,150.692296
FB,Coccoid Blue Green Picoplankton_Biovolume,2022-12-12 16:55:00.000+10:00,,,LAB,0.036,mm3/l,,-33.7272,150.692296
FB,Total suspended solids,2023-01-09 12:00:00.000+10:00,,,LAB,10,mg/L,5,-33.7272,150.692296
FB,Total Kjeldahl Nitrogen as N,2023-01-09 12:00:00.000+10:00,,,LAB,0.5,mg/L,0.1,-33.7272,150.692296
FB,Total Phosphorus as P,2023-01-09 12:00:00.000+10:00,,,LAB,0.02,mg/L,0.01,-33.7272,150.692296
FB,Nitrite as N,2023-01-09 12:00:00.000+10:00,,,LAB,,mg/L,0.01,-33.7272,150.692296
FB,Total Nitrogen as N,2023-01-09 12:00:00.000+10:00,,,LAB,0.5,mg/L,0.1,-33.7272,150.692296
